Serial No.,Type,University Name,Address,Zip,State,Status,Website,Contact Email,Phone,Courses Offered,Level,Duration,Fees_Structure,Entrance_Exam,Seat Intake
8,Private,Adesh University,"NH-7, Barnala Road, Bhucho, Bathinda",151101,Punjab,2(f),adeshuniversity.ac.in,info@adeshuniversity.ac.in,+91-87250-00033,"MBBS, BDS, B.Sc Nursing, M.Sc Nursing, BPT, MPT, B.Pharm, M.Pharm, MBA (Hospital Administration), MD/MS, PhD (Medical, Nursing, Pharmacy, Management)","UG, PG, PhD",3–5 years,"₹60,000–₹15,00,000 per year",NEET UG/PG for medical courses; university-level for others,MBBS – 150; BDS – 100; Others Not Available
16,Private,Akal University,"Talwandi Sabo, Dist. Bathinda",151302,Punjab,2(f),autuni.org,info@autuni.org,+91-87250-82318,"B.A, B.Sc, B.Com, M.A, M.Sc, PhD (Sciences, Humanities, Management)","UG, PG, PhD",2–5 years,"₹30,000–₹1,20,000 per year",Merit-based,Not Available
23,Private,Amity University Punjab,"IT City, Sector 82-A, Mohali",140306,Punjab,2(f),amity.edu,admissions@pb.amity.edu,+91-82880-69324,"B.Tech, BBA, MBA, BA (J&MC), BCA, M.Tech, PhD","UG, PG, PhD",3–5 years,"₹80,000–₹2,50,000 per year",Amity Entrance Test / National Level Exams,Not Available
82,Private,"CGC University, Jhanjeri","Landran-Sirhind Road, Jhanjeri, Mohali",140307,Punjab,2(f),cgc.ac.in,info@cgc.ac.in,+91-95921-04444,"B.Tech, BBA, B.Com, MBA, BCA, B.Sc Agriculture, M.Sc, MCA","UG, PG",3–4 years,"₹60,000–₹1,60,000 per year","JEE Main, University Test",Not Available
94,Private,Chandigarh University,"NH-95, Chandigarh-Ludhiana Highway, Gharuan, Mohali",140413,Punjab,2(f) & 12(B),cuchd.in,admissions@cumail.in,+91-160-3051003,"B.Tech, MBA, BBA, BCA, Law, Pharmacy, Hotel Mgmt, M.Tech, PhD","UG, PG, PhD",3–5 years,"₹1,00,000–₹2,50,000 per year",CUCET / National Level Exams,Not Available
98,Private,Chitkara University,"Chandigarh-Patiala NH, Rajpura, Patiala",140401,Punjab,2(f) & 12(B),chitkara.edu.in,admissions@chitkara.edu.in,+91-95011-05644,"Engineering, Management, Architecture, Design, Health Sciences, Pharmacy","UG, PG, PhD",3–5 years,"₹1,20,000–₹2,50,000 per year",CU Entrance / National Exams,Not Available
103,Private,CT University,"Sidhwan Khurd, Ludhiana",142024,Punjab,2(f),ctuniversity.in,info@ctuniversity.in,+91-88474-38888,"B.Tech, MBA, B.Arch, B.Design, M.Tech, PhD","UG, PG, PhD",3–5 years,"₹70,000–₹2,00,000 per year",CUET / University Test,Not Available
107,Private,DAV University,"Village Sarmastpur, Jalandhar",144012,Punjab,2(f),davuniversity.org,registrar@davuniversity.org,+91-181-2702341,"B.Sc, B.Tech, B.Com, MA, M.Tech, PhD","UG, PG, PhD",3–5 years,"₹40,000–₹1,50,000 per year",Merit / CUET,Not Available
112,Private,Desh Bhagat University,"Mandi Gobindgarh, Fatehgarh Sahib",147203,Punjab,2(f) & 12(B),deshbhagatuniversity.in,info@deshbhagatuniversity.in,+91-82880-08141,"MBBS, BDS, Nursing, Pharmacy, Engineering, Law, Management","UG, PG, PhD",3–6 years,"₹60,000–₹10,00,000 per year",NEET / DBUSET,Not Available
160,Private,GNA University,"Phagwara-Hoshiarpur Road, Kapurthala",144401,Punjab,2(f),gnauniversity.edu.in,admissions@gnauniversity.edu.in,+91-93030-05701,"B.Tech, MBA, MCA, BBA, BHMCT, BCA, M.Tech","UG, PG",3–4 years,"₹70,000–₹1,80,000 per year",GNAET / National Tests,Not Available
167,Private,Guru Kashi University,"Talwandi Sabo, Bathinda",151302,Punjab,2(f) & Category-I,gurukashiuniversity.in,admissions@gurukashiuniversity.in,+91-93141-24477,"Engineering, Agriculture, Pharmacy, Management, Education, Law","UG, PG, PhD",3–5 years,"₹50,000–₹1,50,000 per year",Merit / National Tests,Not Available
240,Private,Khalsa University,"G.T. Road, Amritsar",143002,Punjab,2(f),khalsauniversitycollege.com,info@khalsauniversitycollege.com,+91-183-2258040,"B.A, B.Sc, B.Com, M.Sc, PhD","UG, PG, PhD",3–5 years,"₹40,000–₹1,00,000 per year",Merit-based,Not Available
247,Private,Lamrin Tech Skills University,"SBS Nagar, Punjab",144533,Punjab,2(f),ltsu.ac.in,info@ltsu.ac.in,+91-1800-309-0007,"B.Tech, BCA, Diploma Engineering, M.Tech, MBA","UG, PG, Diploma",2–4 years,"₹80,000–₹1,80,000 per year",CUET / Joint Entrance,Not Available
